"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic GEOCOMP","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Average Family Income (In 2018 Inflation Adjusted Dollars)","Families:","Families: Income in  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: with Related Child Living  Below Poverty Level","Families: Income in  Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income in  Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income  At or Above Poverty Level"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14011_001,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266440,108346,1158094,831694,410730,141055,40929,17493,1035219,999347,35872,95522.03723838,485628,34617,7583,5526,4069,3406,663,17439,16185,1254,451011
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096574,274055,1822519,1240857,521834,182159,57854,21467,1531366,1446090,85276,93915.045751856,706638,64271,13800,11051,9671,7175,2496,29749,25776,3973,642367
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970748,66510,904238,635036,357579,140297,35492,15322,755907,729001,26906,117181.252779794,341752,16178,2378,2636,1628,1507,121,9536,8391,1145,325574
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6189243,607496,5581747,3952349,2524992,989671,282319,105563,4718206,4487823,230383,135042.452846253,2231636,154894,31509,24173,14999,10707,4292,84213,69307,14906,2076742
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416481,206688,1209793,839770,391712,169977,50911,26292,931954,875151,56803,79183.652281692,495378,74665,15199,15010,8812,5512,3300,35644,30294,5350,420713
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13672343,1757364,11914979,8368190,5091466,2244696,626327,214212,10004517,9504716,499801,118065.235522356,4632936,465342,99483,78198,43511,27128,16383,244150,190264,53886,4167594
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7102144,834880,6267264,4464904,2266801,812123,227104,100540,5125646,4870838,254808,91208.0222858222,2622295,266430,50677,43405,27997,20634,7363,144351,123653,20698,2355865
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500779,38508,462271,332776,148610,37946,11096,4136,412509,400818,11691,104400.088335932,187919,10750,1513,2401,1385,1070,315,5451,4861,590,177169
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8027035,746400,7280635,4654664,2325610,894596,233803,91132,5930011,5637441,292570,91796.1710103534,2924244,283821,41855,38169,31589,24549,7040,172208,153323,18885,2640423
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607613,301260,2306353,1489419,668161,233591,66094,24817,1873107,1791438,81669,83981.4804532054,983307,112542,24310,16745,11867,8939,2928,59620,52640,6980,870765
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952380,279925,2672455,2016644,1002543,381353,115003,49543,2135976,2029021,106955,100843.522490191,1027648,82653,18922,15755,10053,7074,2979,37923,31910,6013,944995
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8994627,812098,8182529,5068531,2862482,1139256,330900,138697,6570179,6248945,321234,100918.823759596,3235257,263075,42090,42191,32802,24401,8401,145992,123053,22939,2972182
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740695,80586,660109,449503,254661,107154,29102,12262,558359,527497,30862,105679.145856568,247476,22542,3994,3034,3391,2334,1057,12123,10185,1938,224934
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492355,403491,3088864,2045234,989335,362191,93961,39515,2444595,2315748,128847,86120.9613494051,1258273,136160,19728,21975,14768,10880,3888,79689,67937,11752,1122113
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582850,45157,537693,357182,170398,52455,15489,5478,467568,453723,13845,90011.6769151643,219707,17571,2523,2792,2320,1883,437,9936,8855,1081,202136
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640823,564949,4075874,2598742,1275425,473809,144983,58885,3315104,3133153,181951,86673.8037476407,1708168,193311,37359,29029,22787,16179,6608,104136,88752,15384,1514857
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18477097,2963969,15513128,10885272,5600777,1973730,535203,221611,14185653,13491168,694485,98400.4287942174,6730268,767608,200583,115659,63956,45184,18772,387410,331697,55713,5962660
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871902,142082,1729820,1306413,652445,224884,64475,27876,1583737,1533562,50175,101654.072175829,743767,45593,12543,9515,3151,2549,602,20384,18069,2315,698174
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445824,28903,416921,289572,172589,69521,20069,9248,344075,330947,13128,97097.9711689045,155804,9658,2056,2164,1013,657,356,4425,4096,329,146146
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5822007,588385,5233622,3835561,2290457,994416,262763,109422,4364136,4180915,183221,118508.711807772,2094307,148530,26241,24866,13713,10298,3415,83710,71689,12021,1945777
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215063,437484,4777579,3643757,1913104,725596,201397,85678,3858829,3692600,166229,114679.267220213,1879637,119246,26502,19174,10976,8381,2595,62594,52780,9814,1760391
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280781,156585,1124196,615857,273103,109489,32855,14030,787456,741817,45639,74687.5902500698,461911,60272,13612,10932,7766,5657,2109,27962,22324,5638,401639
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3992022,315219,3676803,2454328,1198076,422543,122681,51775,3091944,2993716,98228,96441.1722705178,1487370,103509,19053,18760,12464,9957,2507,53232,47634,5598,1383861
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393136,26309,366827,253476,105583,39134,10538,5015,299120,287436,11684,98768.5569970593,144525,10239,2805,1236,1226,989,237,4972,4700,272,134286
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288030,514905,1773125,1128423,610703,180011,59298,26565,1182648,1004429,178219,36583.1209547181,791354,314362,43279,74144,40671,25538,15133,156268,101677,54591,476992
